Feature,Coefficient,Abs_Coefficient
Glucose,1.1834438806611995,1.1834438806611995
BMI,0.7097094630649781,0.7097094630649781
Pregnancies,0.3730189971538431,0.3730189971538431
DiabetesPedigreeFunction,0.28774544075837616,0.28774544075837616
Age,0.1863930016909393,0.1863930016909393
Insulin,-0.04465125693770681,0.04465125693770681
BloodPressure,-0.014547911548349196,0.014547911548349196
SkinThickness,0.01387690837373802,0.01387690837373802
